City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
304,rabaul,-4.1967,152.1721,299.6,79,36,2.56,PG,1731349191
305,rikaze,29.25,88.8833,276.6,32,0,1.37,CN,1731349192
306,litchfield,41.7668,-73.2501,289.83,66,39,1.34,US,1731349193
307,fort mcmurray,56.7268,-111.381,273.88,80,100,6.69,CA,1731349056
308,alofi,-19.0595,-169.9187,296.09,94,75,7.72,NU,1731349195
309,itoman,26.1247,127.6694,299.16,89,100,5.14,JP,1731349196
310,ambovombe,-25.1667,46.0833,297.53,88,42,1.96,MG,1731349197
311,queenstown,-31.8976,26.8753,285.99,85,100,3.19,ZA,1731349199
312,huotong,26.8497,119.4181,292.48,95,55,0.62,CN,1731349200
313,poronaysk,49.2167,143.1167,271.58,60,60,2.51,RU,1731349201
314,portland,45.5234,-122.6762,283.5,94,100,3.58,US,1731349084
315,dul'durga,50.6761,113.5931,265.42,69,1,1.0,RU,1731349203
316,rawson,-43.3002,-65.1023,293.02,25,6,7.56,AR,1731349204
317,koper,45.5469,13.7294,283.43,50,0,2.57,SI,1731349205
318,viitasaari,63.0667,25.8667,275.12,95,100,2.68,FI,1731349206
319,ad dilam,23.9915,47.1627,298.01,31,1,3.09,SA,1731349207
320,huanta,-12.9333,-74.25,294.37,31,46,1.37,PE,1731349209
321,trenton,40.217,-74.7429,294.88,58,0,5.66,US,1731349210
322,shawinigan,46.5668,-72.7491,280.73,81,100,4.27,CA,1731349211
323,lepsy,46.235,78.9456,278.4,83,100,10.11,KZ,1731349212
324,cannonvale,-20.2833,148.7,296.81,70,87,3.27,AU,1731349213
325,saurimo,-9.6608,20.3916,293.39,84,42,1.99,AO,1731349215
326,oltinko'l,40.8011,72.1634,284.0,56,40,0.14,UZ,1731349216
327,chiknayakanhalli,13.4172,76.6228,293.49,61,17,1.34,IN,1731349217
328,geraldton,-28.7667,114.6,291.38,77,100,6.17,AU,1731349219
329,leava,-14.3,-178.1667,300.98,75,89,4.73,WF,1731349220
330,thinadhoo,0.5333,72.9333,301.08,79,57,6.32,MV,1731349221
331,port lincoln,-34.7333,135.8667,288.0,90,0,3.48,AU,1731349222
332,gorom-gorom,14.4439,-0.2361,301.89,13,0,4.13,BF,1731349223
333,sydney mines,46.2367,-60.2177,283.25,94,100,5.14,CA,1731349224
334,leer,53.2316,7.461,281.45,96,85,1.34,DE,1731349225
335,sheridan,44.8333,-106.9173,289.91,38,69,1.52,US,1731349226
336,umirim,-3.6772,-39.3503,307.1,33,85,5.56,BR,1731349230
